step,ancien,nouveau,raison,score_ancien,score_nouveau
9355,SGD,KNN_ADWIN,bandit,0.999,1.0
9359,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9981
9360,HoeffdingTree,KNN_ADWIN,bandit,0.9981,1.0
9363,KNN_ADWIN,SGD,bandit,1.0,0.999
9364,SGD,KNN_ADWIN,bandit,0.999,1.0
9367,KNN_ADWIN,SGD,bandit,1.0,0.999
9368,SGD,KNN_ADWIN,bandit,0.999,1.0
9371,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9981
9372,HoeffdingTree,KNN_ADWIN,bandit,0.9981,1.0
9409,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9981
9410,HoeffdingTree,KNN_ADWIN,bandit,0.9981,1.0
9425,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9981
9426,HoeffdingTree,KNN_ADWIN,bandit,0.9981,1.0
9431,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9981
9432,HoeffdingTree,KNN_ADWIN,bandit,0.9981,1.0
9449,KNN_ADWIN,SGD,bandit,1.0,0.999
9450,SGD,KNN_ADWIN,bandit,0.999,1.0
9497,KNN_ADWIN,SGD,bandit,1.0,0.999
9498,SGD,KNN_ADWIN,bandit,0.999,1.0
9500,KNN_ADWIN,SGD,bandit,1.0,0.999
9501,SGD,KNN_ADWIN,bandit,0.999,1.0
9510,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9981
9511,HoeffdingTree,KNN_ADWIN,bandit,0.9981,1.0
9548,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.998
9549,HoeffdingTree,KNN_ADWIN,bandit,0.998,1.0
9564,KNN_ADWIN,SGD,bandit,1.0,0.9991
9565,SGD,KNN_ADWIN,bandit,0.9991,1.0
9569,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.998
9570,HoeffdingTree,KNN_ADWIN,bandit,0.998,1.0
9576,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.998
9577,HoeffdingTree,KNN_ADWIN,bandit,0.998,1.0
9593,KNN_ADWIN,SGD,bandit,1.0,0.9991
9594,SGD,KNN_ADWIN,bandit,0.9991,1.0
9597,KNN_ADWIN,SGD,bandit,1.0,0.9991
9598,SGD,HoeffdingTree,bandit,0.9991,0.998
9599,HoeffdingTree,KNN_ADWIN,bandit,0.998,1.0
9613,KNN_ADWIN,SGD,bandit,1.0,0.9991
9614,SGD,KNN_ADWIN,bandit,0.9991,1.0
9632,KNN_ADWIN,SGD,bandit,1.0,0.9991
9633,SGD,KNN_ADWIN,bandit,0.9991,1.0
9652,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9979
9653,HoeffdingTree,KNN_ADWIN,bandit,0.9979,1.0
9703,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9974
9704,HoeffdingTree,KNN_ADWIN,bandit,0.9974,1.0
9741,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9971
9742,HoeffdingTree,KNN_ADWIN,bandit,0.9971,1.0
9747,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9971
9748,HoeffdingTree,KNN_ADWIN,bandit,0.9971,1.0
9788,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9969
9789,HoeffdingTree,KNN_ADWIN,bandit,0.9969,1.0
9795,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9969
9796,HoeffdingTree,KNN_ADWIN,bandit,0.9969,1.0
9817,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9969
9818,HoeffdingTree,KNN_ADWIN,bandit,0.9969,1.0
9826,KNN_ADWIN,SGD,bandit,1.0,0.9986
9827,SGD,KNN_ADWIN,bandit,0.9986,1.0
9833,KNN_ADWIN,SGD,bandit,1.0,0.9986
9834,SGD,KNN_ADWIN,bandit,0.9986,1.0
9865,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9968
9866,HoeffdingTree,KNN_ADWIN,bandit,0.9968,1.0
9876,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9968
9877,HoeffdingTree,KNN_ADWIN,bandit,0.9968,1.0
9888,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9968
9889,HoeffdingTree,KNN_ADWIN,bandit,0.9968,1.0
9902,KNN_ADWIN,SGD,bandit,1.0,0.9986
9903,SGD,KNN_ADWIN,bandit,0.9986,1.0
9905,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9968
9906,HoeffdingTree,KNN_ADWIN,bandit,0.9968,1.0
9911,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9968
9912,HoeffdingTree,KNN_ADWIN,bandit,0.9968,1.0
9913,KNN_ADWIN,SGD,bandit,1.0,0.9986
9914,SGD,KNN_ADWIN,bandit,0.9986,1.0
9928,KNN_ADWIN,SGD,bandit,1.0,0.9986
9929,SGD,KNN_ADWIN,bandit,0.9986,1.0
9986,KNN_ADWIN,SGD,bandit,1.0,0.9985
9987,SGD,KNN_ADWIN,bandit,0.9985,1.0
10003,KNN_ADWIN,HoeffdingTree,bandit,0.9997,0.9959
10004,HoeffdingTree,KNN_ADWIN,bandit,0.9959,0.9996
10007,KNN_ADWIN,HoeffdingTree,bandit,0.9992,0.9958
10008,HoeffdingTree,KNN_ADWIN,bandit,0.9958,0.9991
10016,KNN_ADWIN,RESET,ADWIN_drift,0.998,0.0
10018,KNN_ADWIN,HoeffdingTree,bandit,0.0,1.0
10021,HoeffdingTree,SGD,bandit,1.0,0.25
10022,SGD,HoeffdingTree,bandit,0.2,1.0
10028,HoeffdingTree,SGD,bandit,1.0,0.2727
10029,SGD,HoeffdingTree,bandit,0.3333,1.0
10052,HoeffdingTree,SGD,bandit,0.6286,0.4286
10053,SGD,HoeffdingTree,bandit,0.4444,0.6111
10067,HoeffdingTree,KNN_ADWIN,bandit,0.52,0.02
10069,KNN_ADWIN,HoeffdingTree,bandit,0.0192,0.5
10073,HoeffdingTree,KNN_ADWIN,bandit,0.5179,0.0179
10074,KNN_ADWIN,HoeffdingTree,bandit,0.0175,0.5088
10083,HoeffdingTree,SGD,bandit,0.4394,0.4545
10085,SGD,HoeffdingTree,bandit,0.4412,0.4412
10087,HoeffdingTree,SGD,bandit,0.4286,0.4429
10089,SGD,HoeffdingTree,bandit,0.4306,0.4306
10092,HoeffdingTree,KNN_ADWIN,bandit,0.4267,0.0133
10093,KNN_ADWIN,SGD,bandit,0.0132,0.4342
10113,SGD,HoeffdingTree,bandit,0.4271,0.3854
10114,HoeffdingTree,SGD,bandit,0.3814,0.4227
10115,SGD,HoeffdingTree,bandit,0.4286,0.3776
10116,HoeffdingTree,SGD,bandit,0.3737,0.4343
10118,SGD,HoeffdingTree,bandit,0.4356,0.3861
10119,HoeffdingTree,SGD,bandit,0.3922,0.4314
10142,SGD,HoeffdingTree,bandit,0.416,0.352
10143,HoeffdingTree,SGD,bandit,0.3492,0.4127
10146,SGD,HoeffdingTree,bandit,0.4109,0.3488
10147,HoeffdingTree,SGD,bandit,0.3538,0.4077
10151,SGD,KNN_ADWIN,bandit,0.4104,0.0448
10152,KNN_ADWIN,SGD,bandit,0.0444,0.4148
10153,SGD,HoeffdingTree,bandit,0.4118,0.3382
10154,HoeffdingTree,SGD,bandit,0.3358,0.4161
10162,SGD,KNN_ADWIN,bandit,0.4138,0.0483
10163,KNN_ADWIN,SGD,bandit,0.0479,0.4178
10187,SGD,HoeffdingTree,bandit,0.4471,0.3353
10188,HoeffdingTree,SGD,bandit,0.3392,0.4503
10194,SGD,HoeffdingTree,bandit,0.4689,0.3333
10195,HoeffdingTree,SGD,bandit,0.3315,0.4719
10204,SGD,HoeffdingTree,bandit,0.4759,0.3262
10205,HoeffdingTree,SGD,bandit,0.3245,0.4734
10211,SGD,HoeffdingTree,bandit,0.4794,0.3196
10212,HoeffdingTree,SGD,bandit,0.3231,0.4769
10217,SGD,KNN_ADWIN,bandit,0.48,0.11
10218,KNN_ADWIN,SGD,bandit,0.1095,0.4826
10239,SGD,KNN_ADWIN,bandit,0.4865,0.1306
10240,KNN_ADWIN,SGD,bandit,0.13,0.4888
10249,SGD,HoeffdingTree,bandit,0.4914,0.3276
10250,HoeffdingTree,KNN_ADWIN,bandit,0.3262,0.1416
10251,KNN_ADWIN,SGD,bandit,0.1453,0.4872
10263,SGD,HoeffdingTree,bandit,0.5041,0.313
10264,HoeffdingTree,SGD,bandit,0.3158,0.502
10276,SGD,HoeffdingTree,bandit,0.5174,0.3127
10277,HoeffdingTree,KNN_ADWIN,bandit,0.3115,0.1577
10278,KNN_ADWIN,SGD,bandit,0.1571,0.5172
10312,SGD,HoeffdingTree,bandit,0.5356,0.3186
10313,HoeffdingTree,SGD,bandit,0.3209,0.5372
10317,SGD,KNN_ADWIN,bandit,0.5433,0.1667
10318,KNN_ADWIN,SGD,bandit,0.1694,0.5449
10319,SGD,KNN_ADWIN,bandit,0.5464,0.1689
10320,KNN_ADWIN,SGD,bandit,0.1683,0.5479
10335,SGD,KNN_ADWIN,bandit,0.566,0.1698
10336,KNN_ADWIN,SGD,bandit,0.1693,0.5643
10336,SGD,RESET,ADWIN_drift,0.5656,0.0
10338,SGD,HoeffdingTree,bandit,1.0,1.0
10359,HoeffdingTree,SGD,bandit,1.0,0.5455
10360,SGD,HoeffdingTree,bandit,0.5652,1.0
10361,HoeffdingTree,SGD,bandit,1.0,0.5833
10362,SGD,HoeffdingTree,bandit,0.6,1.0
10376,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.2564
10377,KNN_ADWIN,HoeffdingTree,bandit,0.25,1.0
10381,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.25
10382,KNN_ADWIN,HoeffdingTree,bandit,0.2667,1.0
10413,HoeffdingTree,SGD,bandit,1.0,0.7763
10414,SGD,HoeffdingTree,bandit,0.7792,1.0
10419,HoeffdingTree,SGD,bandit,1.0,0.7683
10420,SGD,HoeffdingTree,bandit,0.7711,1.0
10423,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.3372
10424,KNN_ADWIN,HoeffdingTree,bandit,0.3333,1.0
10431,HoeffdingTree,SGD,bandit,1.0,0.7766
10432,SGD,HoeffdingTree,bandit,0.7789,1.0
10439,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.3431
10440,KNN_ADWIN,HoeffdingTree,bandit,0.3495,1.0
10467,HoeffdingTree,SGD,bandit,1.0,0.7769
10468,SGD,HoeffdingTree,bandit,0.7786,1.0
10493,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.359
10494,KNN_ADWIN,HoeffdingTree,bandit,0.3631,1.0
10495,HoeffdingTree,SGD,bandit,1.0,0.8038
10496,SGD,HoeffdingTree,bandit,0.7987,1.0
10499,HoeffdingTree,SGD,bandit,1.0,0.7963
10500,SGD,HoeffdingTree,bandit,0.7914,1.0
10527,HoeffdingTree,SGD,bandit,1.0,0.7947
10528,SGD,HoeffdingTree,bandit,0.7958,1.0
10529,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.3646
10530,KNN_ADWIN,HoeffdingTree,bandit,0.3627,1.0
10559,HoeffdingTree,SGD,bandit,1.0,0.8063
10560,SGD,HoeffdingTree,bandit,0.8027,1.0
10595,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.3915
10596,KNN_ADWIN,HoeffdingTree,bandit,0.39,1.0
10603,HoeffdingTree,SGD,bandit,1.0,0.797
10604,SGD,HoeffdingTree,bandit,0.7978,1.0
10623,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.4266
10624,KNN_ADWIN,HoeffdingTree,bandit,0.4286,1.0
10638,HoeffdingTree,SGD,bandit,1.0,0.814
10640,SGD,HoeffdingTree,bandit,0.8086,1.0
10644,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.443
10645,KNN_ADWIN,HoeffdingTree,bandit,0.4448,1.0
10668,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.4502
10669,KNN_ADWIN,HoeffdingTree,bandit,0.4518,1.0
10670,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.4505
10671,KNN_ADWIN,HoeffdingTree,bandit,0.4491,1.0
10698,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.4737
10699,KNN_ADWIN,HoeffdingTree,bandit,0.4751,1.0
10705,HoeffdingTree,SGD,bandit,1.0,0.7908
10706,SGD,HoeffdingTree,bandit,0.7913,1.0
10708,HoeffdingTree,SGD,bandit,1.0,0.7925
10709,SGD,HoeffdingTree,bandit,0.793,1.0
10718,HoeffdingTree,SGD,bandit,1.0,0.7953
10719,SGD,HoeffdingTree,bandit,0.7958,1.0
10734,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.4937
10735,KNN_ADWIN,HoeffdingTree,bandit,0.495,1.0
10760,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.5177
10761,KNN_ADWIN,HoeffdingTree,bandit,0.5189,1.0
10776,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.5216
10777,KNN_ADWIN,HoeffdingTree,bandit,0.5227,1.0
10824,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.5524
10825,KNN_ADWIN,HoeffdingTree,bandit,0.5533,1.0
10834,HoeffdingTree,SGD,bandit,1.0,0.8169
10835,SGD,HoeffdingTree,bandit,0.8173,1.0
10838,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.5629
10839,KNN_ADWIN,HoeffdingTree,bandit,0.5637,1.0
10846,HoeffdingTree,SGD,bandit,1.0,0.8212
10847,SGD,KNN_ADWIN,bandit,0.8216,0.5706
10848,KNN_ADWIN,HoeffdingTree,bandit,0.5714,1.0
10857,HoeffdingTree,SGD,bandit,1.0,0.8231
10858,SGD,HoeffdingTree,bandit,0.8234,1.0
10863,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.5779
10864,KNN_ADWIN,HoeffdingTree,bandit,0.5787,1.0
10869,HoeffdingTree,SGD,bandit,1.0,0.8252
10870,SGD,HoeffdingTree,bandit,0.8255,1.0
10906,HoeffdingTree,SGD,bandit,1.0,0.8295
10907,SGD,HoeffdingTree,bandit,0.8298,1.0
10913,HoeffdingTree,SGD,bandit,1.0,0.8281
10914,SGD,HoeffdingTree,bandit,0.8284,1.0
10932,HoeffdingTree,SGD,bandit,1.0,0.8286
10933,SGD,HoeffdingTree,bandit,0.8289,1.0
10947,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.6279
10948,KNN_ADWIN,HoeffdingTree,bandit,0.6285,1.0
10954,HoeffdingTree,SGD,bandit,1.0,0.8331
10955,SGD,HoeffdingTree,bandit,0.8333,1.0
11016,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.6657
11017,KNN_ADWIN,HoeffdingTree,bandit,0.6662,1.0
11019,HoeffdingTree,SGD,bandit,1.0,0.8343
11020,SGD,HoeffdingTree,bandit,0.8346,1.0
11087,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.6973
11088,KNN_ADWIN,HoeffdingTree,bandit,0.6977,1.0
11102,HoeffdingTree,SGD,bandit,1.0,0.8444
11103,SGD,HoeffdingTree,bandit,0.8446,1.0
11108,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7056
11109,KNN_ADWIN,HoeffdingTree,bandit,0.706,1.0
11117,HoeffdingTree,SGD,bandit,1.0,0.8449
11118,SGD,HoeffdingTree,bandit,0.8451,1.0
11154,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7222
11155,KNN_ADWIN,HoeffdingTree,bandit,0.7225,1.0
11173,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7285
11174,KNN_ADWIN,HoeffdingTree,bandit,0.7288,1.0
11221,HoeffdingTree,SGD,bandit,1.0,0.8518
11222,SGD,HoeffdingTree,bandit,0.852,1.0
11230,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7458
11231,KNN_ADWIN,HoeffdingTree,bandit,0.7461,1.0
11260,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7541
11261,KNN_ADWIN,HoeffdingTree,bandit,0.7543,1.0
11281,HoeffdingTree,SGD,bandit,1.0,0.8581
11282,SGD,HoeffdingTree,bandit,0.8582,1.0
11310,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7667
11311,KNN_ADWIN,HoeffdingTree,bandit,0.7669,1.0
11329,HoeffdingTree,SGD,bandit,1.0,0.8619
11330,SGD,KNN_ADWIN,bandit,0.862,0.7714
11331,KNN_ADWIN,HoeffdingTree,bandit,0.7716,1.0
11348,HoeffdingTree,SGD,bandit,1.0,0.8625
11349,SGD,HoeffdingTree,bandit,0.8626,1.0
11350,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7759
11351,KNN_ADWIN,HoeffdingTree,bandit,0.7761,1.0
11363,HoeffdingTree,SGD,bandit,1.0,0.8645
11364,SGD,KNN_ADWIN,bandit,0.8647,0.779
11365,KNN_ADWIN,HoeffdingTree,bandit,0.7792,1.0
11369,HoeffdingTree,SGD,bandit,1.0,0.8643
11370,SGD,HoeffdingTree,bandit,0.8645,1.0
11387,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7838
11388,KNN_ADWIN,SGD,bandit,0.784,0.8649
11389,SGD,HoeffdingTree,bandit,0.865,1.0
11393,HoeffdingTree,SGD,bandit,1.0,0.8655
11394,SGD,HoeffdingTree,bandit,0.8657,1.0
11405,HoeffdingTree,SGD,bandit,1.0,0.867
11406,SGD,HoeffdingTree,bandit,0.8672,1.0
11436,HoeffdingTree,SGD,bandit,1.0,0.8672
11437,SGD,HoeffdingTree,bandit,0.8673,1.0
11465,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.7988
11466,KNN_ADWIN,HoeffdingTree,bandit,0.7989,1.0
11484,HoeffdingTree,SGD,bandit,1.0,0.8675
11485,SGD,KNN_ADWIN,bandit,0.8676,0.8023
11486,KNN_ADWIN,HoeffdingTree,bandit,0.8024,1.0
11501,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.805
11502,KNN_ADWIN,HoeffdingTree,bandit,0.8052,1.0
11510,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8065
11511,KNN_ADWIN,HoeffdingTree,bandit,0.8066,1.0
11523,HoeffdingTree,SGD,bandit,1.0,0.8702
11524,SGD,HoeffdingTree,bandit,0.8703,1.0
11533,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8102
11534,KNN_ADWIN,HoeffdingTree,bandit,0.8104,1.0
11540,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8113
11541,KNN_ADWIN,HoeffdingTree,bandit,0.8115,1.0
11545,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8121
11546,KNN_ADWIN,HoeffdingTree,bandit,0.8122,1.0
11561,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8145
11562,KNN_ADWIN,HoeffdingTree,bandit,0.8147,1.0
11564,HoeffdingTree,SGD,bandit,1.0,0.8712
11565,SGD,HoeffdingTree,bandit,0.8713,1.0
11574,HoeffdingTree,SGD,bandit,1.0,0.8723
11575,SGD,HoeffdingTree,bandit,0.8724,1.0
11581,HoeffdingTree,SGD,bandit,1.0,0.873
11582,SGD,HoeffdingTree,bandit,0.8731,1.0
11585,HoeffdingTree,SGD,bandit,1.0,0.8734
11586,SGD,HoeffdingTree,bandit,0.8735,1.0
11606,HoeffdingTree,SGD,bandit,1.0,0.8739
11607,SGD,HoeffdingTree,bandit,0.874,1.0
11611,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8218
11612,KNN_ADWIN,HoeffdingTree,bandit,0.822,1.0
11620,HoeffdingTree,SGD,bandit,1.0,0.8753
11621,SGD,HoeffdingTree,bandit,0.8754,1.0
11630,HoeffdingTree,SGD,bandit,1.0,0.8763
11631,SGD,HoeffdingTree,bandit,0.8764,1.0
11704,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8339
11705,KNN_ADWIN,HoeffdingTree,bandit,0.8341,1.0
11707,HoeffdingTree,SGD,bandit,1.0,0.8803
11708,SGD,HoeffdingTree,bandit,0.8804,1.0
11724,HoeffdingTree,SGD,bandit,1.0,0.881
11725,SGD,HoeffdingTree,bandit,0.8811,1.0
11746,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8389
11747,KNN_ADWIN,HoeffdingTree,bandit,0.839,1.0
11776,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8423
11777,KNN_ADWIN,HoeffdingTree,bandit,0.8424,1.0
11784,HoeffdingTree,SGD,bandit,1.0,0.8839
11785,SGD,HoeffdingTree,bandit,0.884,1.0
11798,HoeffdingTree,SGD,bandit,1.0,0.885
11799,SGD,HoeffdingTree,bandit,0.8851,1.0
11842,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8492
11843,KNN_ADWIN,HoeffdingTree,bandit,0.8493,1.0
11846,HoeffdingTree,SGD,bandit,1.0,0.888
11847,SGD,HoeffdingTree,bandit,0.8874,1.0
11856,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8506
11857,KNN_ADWIN,HoeffdingTree,bandit,0.8507,1.0
11864,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8513
11865,KNN_ADWIN,HoeffdingTree,bandit,0.8514,1.0
11873,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8522
11875,KNN_ADWIN,HoeffdingTree,bandit,0.8524,1.0
11883,HoeffdingTree,SGD,bandit,1.0,0.89
11884,SGD,HoeffdingTree,bandit,0.8901,1.0
11888,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8536
11889,KNN_ADWIN,HoeffdingTree,bandit,0.8537,1.0
11903,HoeffdingTree,SGD,bandit,1.0,0.8914
11904,SGD,HoeffdingTree,bandit,0.8915,1.0
11929,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8574
11930,KNN_ADWIN,HoeffdingTree,bandit,0.8575,1.0
11931,HoeffdingTree,KNN_ADWIN,bandit,1.0,0.8576
11932,KNN_ADWIN,HoeffdingTree,bandit,0.8577,1.0
11936,HoeffdingTree,KNN_ADWIN,bandit,0.9994,0.858
11937,KNN_ADWIN,HoeffdingTree,bandit,0.8581,0.9994
11968,HoeffdingTree,RESET,ADWIN_drift,0.9853,0.0
11972,HoeffdingTree,KNN_ADWIN,bandit,0.6667,1.0
11983,KNN_ADWIN,SGD,bandit,1.0,0.9286
11984,SGD,KNN_ADWIN,bandit,0.9333,1.0
11988,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.6316
11989,HoeffdingTree,KNN_ADWIN,bandit,0.65,1.0
11996,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.7407
11997,HoeffdingTree,KNN_ADWIN,bandit,0.7143,1.0
12022,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.6038
12023,HoeffdingTree,KNN_ADWIN,bandit,0.6111,1.0
12033,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5938
12034,HoeffdingTree,KNN_ADWIN,bandit,0.6,1.0
12038,KNN_ADWIN,SGD,bandit,1.0,0.913
12039,SGD,KNN_ADWIN,bandit,0.9143,1.0
12059,KNN_ADWIN,SGD,bandit,1.0,0.9222
12060,SGD,KNN_ADWIN,bandit,0.9231,1.0
12064,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5158
12066,HoeffdingTree,KNN_ADWIN,bandit,0.5155,1.0
12136,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.497
12137,HoeffdingTree,KNN_ADWIN,bandit,0.5,1.0
12140,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5088
12141,HoeffdingTree,KNN_ADWIN,bandit,0.5116,1.0
12151,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.511
12152,HoeffdingTree,KNN_ADWIN,bandit,0.5082,1.0
12164,KNN_ADWIN,SGD,bandit,1.0,0.9128
12165,SGD,KNN_ADWIN,bandit,0.9133,1.0
12166,KNN_ADWIN,SGD,bandit,1.0,0.9086
12167,SGD,KNN_ADWIN,bandit,0.9091,1.0
12253,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5035
12254,HoeffdingTree,KNN_ADWIN,bandit,0.5018,1.0
12256,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5052
12257,HoeffdingTree,KNN_ADWIN,bandit,0.5069,1.0
12275,KNN_ADWIN,SGD,bandit,1.0,0.9281
12276,SGD,KNN_ADWIN,bandit,0.9283,1.0
12285,KNN_ADWIN,SGD,bandit,1.0,0.9272
12286,SGD,KNN_ADWIN,bandit,0.9274,1.0
12321,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5057
12322,HoeffdingTree,KNN_ADWIN,bandit,0.5071,1.0
12323,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5085
12324,HoeffdingTree,KNN_ADWIN,bandit,0.507,1.0
12341,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5081
12342,HoeffdingTree,KNN_ADWIN,bandit,0.5067,1.0
12343,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5053
12344,HoeffdingTree,KNN_ADWIN,bandit,0.504,1.0
12390,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5154
12391,HoeffdingTree,KNN_ADWIN,bandit,0.5142,1.0
12392,KNN_ADWIN,SGD,bandit,1.0,0.9314
12393,SGD,KNN_ADWIN,bandit,0.9316,1.0
12432,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5205
12433,HoeffdingTree,KNN_ADWIN,bandit,0.5216,1.0
12447,KNN_ADWIN,SGD,bandit,1.0,0.9331
12448,SGD,KNN_ADWIN,bandit,0.9332,1.0
12465,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5161
12466,HoeffdingTree,KNN_ADWIN,bandit,0.5171,1.0
12475,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5198
12476,HoeffdingTree,KNN_ADWIN,bandit,0.5207,1.0
12477,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5197
12478,HoeffdingTree,KNN_ADWIN,bandit,0.5187,1.0
12489,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5173
12490,HoeffdingTree,KNN_ADWIN,bandit,0.5163,1.0
12513,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.511
12514,HoeffdingTree,KNN_ADWIN,bandit,0.5119,1.0
12521,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5091
12522,HoeffdingTree,KNN_ADWIN,bandit,0.5099,1.0
12533,KNN_ADWIN,SGD,bandit,1.0,0.9344
12534,SGD,KNN_ADWIN,bandit,0.9345,1.0
12537,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5123
12538,HoeffdingTree,KNN_ADWIN,bandit,0.5132,1.0
12553,KNN_ADWIN,SGD,bandit,1.0,0.9332
12554,SGD,KNN_ADWIN,bandit,0.9333,1.0
12558,KNN_ADWIN,SGD,bandit,1.0,0.9338
12559,SGD,KNN_ADWIN,bandit,0.9339,1.0
12565,KNN_ADWIN,SGD,bandit,1.0,0.9329
12566,SGD,KNN_ADWIN,bandit,0.933,1.0
12593,KNN_ADWIN,SGD,bandit,1.0,0.9359
12594,SGD,KNN_ADWIN,bandit,0.936,1.0
12595,KNN_ADWIN,SGD,bandit,1.0,0.9361
12596,SGD,KNN_ADWIN,bandit,0.9362,1.0
12598,KNN_ADWIN,SGD,bandit,1.0,0.9364
12599,SGD,KNN_ADWIN,bandit,0.9365,1.0
12616,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5054
12618,HoeffdingTree,SGD,bandit,0.5039,0.9384
12619,SGD,KNN_ADWIN,bandit,0.9385,1.0
12627,KNN_ADWIN,SGD,bandit,1.0,0.9392
12628,SGD,KNN_ADWIN,bandit,0.9393,1.0
12648,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5096
12649,HoeffdingTree,KNN_ADWIN,bandit,0.5103,1.0
12656,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.5124
