step,ancien,nouveau,raison,score_ancien,score_nouveau
6762,HoeffdingTree,KNN_ADWIN,bandit,0.9998,1.0
6769,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9998
6770,HoeffdingTree,KNN_ADWIN,bandit,0.9998,1.0
6772,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9998
6773,HoeffdingTree,KNN_ADWIN,bandit,0.9998,1.0
6799,KNN_ADWIN,SGD,bandit,1.0,0.9989
6800,SGD,KNN_ADWIN,bandit,0.9989,1.0
6801,KNN_ADWIN,SGD,bandit,1.0,0.9989
6802,SGD,KNN_ADWIN,bandit,0.9989,1.0
6817,KNN_ADWIN,SGD,bandit,1.0,0.9989
6818,SGD,KNN_ADWIN,bandit,0.9989,1.0
6819,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9998
6820,HoeffdingTree,KNN_ADWIN,bandit,0.9998,1.0
6824,KNN_ADWIN,SGD,bandit,1.0,0.9989
6825,SGD,HoeffdingTree,bandit,0.9989,0.9998
6826,HoeffdingTree,KNN_ADWIN,bandit,0.9998,1.0
6837,KNN_ADWIN,SGD,bandit,1.0,0.9989
6838,SGD,KNN_ADWIN,bandit,0.9989,1.0
6886,KNN_ADWIN,SGD,bandit,1.0,0.9989
6887,SGD,HoeffdingTree,bandit,0.9989,0.9998
6888,HoeffdingTree,KNN_ADWIN,bandit,0.9998,1.0
6930,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9998
6932,HoeffdingTree,KNN_ADWIN,bandit,0.9998,1.0
6947,KNN_ADWIN,SGD,bandit,1.0,0.999
6948,SGD,KNN_ADWIN,bandit,0.999,1.0
6952,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
6953,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
6983,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
6984,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
6998,KNN_ADWIN,SGD,bandit,1.0,0.999
6999,SGD,KNN_ADWIN,bandit,0.999,1.0
7000,KNN_ADWIN,SGD,bandit,1.0,0.999
7001,SGD,KNN_ADWIN,bandit,0.999,1.0
7040,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7041,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
7050,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7051,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
7054,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7055,HoeffdingTree,SGD,bandit,0.9996,0.999
7056,SGD,KNN_ADWIN,bandit,0.999,1.0
7060,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7061,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
7079,KNN_ADWIN,SGD,bandit,1.0,0.999
7080,SGD,KNN_ADWIN,bandit,0.999,1.0
7087,KNN_ADWIN,SGD,bandit,1.0,0.999
7088,SGD,KNN_ADWIN,bandit,0.999,1.0
7091,KNN_ADWIN,SGD,bandit,1.0,0.999
7092,SGD,KNN_ADWIN,bandit,0.999,1.0
7146,KNN_ADWIN,SGD,bandit,1.0,0.999
7147,SGD,KNN_ADWIN,bandit,0.999,1.0
7208,KNN_ADWIN,SGD,bandit,1.0,0.999
7209,SGD,KNN_ADWIN,bandit,0.999,1.0
7218,KNN_ADWIN,SGD,bandit,1.0,0.999
7220,SGD,KNN_ADWIN,bandit,0.999,1.0
7224,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7225,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
7242,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7243,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
7263,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7264,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
7278,KNN_ADWIN,SGD,bandit,1.0,0.999
7280,SGD,KNN_ADWIN,bandit,0.999,1.0
7290,KNN_ADWIN,HoeffdingTree,bandit,1.0,0.9996
7291,HoeffdingTree,KNN_ADWIN,bandit,0.9996,1.0
7292,KNN_ADWIN,SGD,bandit,1.0,0.999
7294,SGD,KNN_ADWIN,bandit,0.999,1.0
7295,KNN_ADWIN,SGD,bandit,1.0,0.999
7296,SGD,KNN_ADWIN,bandit,0.999,1.0
7297,KNN_ADWIN,SGD,bandit,1.0,0.999
7298,SGD,KNN_ADWIN,bandit,0.999,1.0
7306,KNN_ADWIN,SGD,bandit,1.0,0.999
7307,SGD,KNN_ADWIN,bandit,0.999,1.0
